ID do Card,Responsável,Whatsapp Nome Fornecedor,Whatsapp Número Fornecedor,Status,Status Código,Data de Criação,Última Alteração,time_status,time_timeout,Etiquetas,Prioridade,A. Status Viabilidade,B. Status Comercial,C. Status Solicitação de Contratação,D. Status Suprimentos,E. Status Implantação,F. Status Pendência do Cliente,G. Status Cancelamento,01 - NOME CARD,02 - DESCRIÇÃO,03 - PROJETO,04 - PRODUTO,05 - VELOCIDADE,06 - DESIGNAÇÃO OI,07 - DESIGNAÇÃO NAVA,08 - OS PORTAL OI,09 - ENDEREÇO,10 - BAIRRO,11 - MUNICÍPIO,12 - UF,13 - CEP,14 - SOLICITANTE OI,15 - CONTRATO,16 - TOTAL MENSAL,17 - INSTALAÇÃO,18 - GERENCIAMENTO,19 - MENSALIDADE OI,20 - CLIENTE FINAL,21 - LOCALIDADE,22 - RAZÃO SOCIAL/FORNECEDOR,23 - NOME FANTASIA,24 - MENSALIDADE DO PROVEDOR,25 - TAXA DE INSTALAÇÃO DO PROVEDOR,26 - CNPJ DO FORNECEDOR,27 - TELEFONE DE CONTATO,28 - E-MAIL DO FORNECEDOR,29 - ATENDENTE/FORNECEDOR,30 - FIDELIDADE,31 - TIPO DE CONTROLE,32 - VALOR DA MULTA DE RESCISÃO,33 - DATA ACORDADA PARA ENVIO DE NF,34 - MEIO DE ENVIO DE NF ACORDADO COM O FORNECEDOR,35 - PRIORIDADE,36 - LOJA,37 - ESCOPO TÉCNICO,38 - GATEWAY,39 - MÁSCARA,40 - IP DISPONIVEL/FIXO,41 - TIPO DE SOLICITAÇÃO,42 - VISITA DE TÉCNICA,43 - TIPO DE VISITA,44 - MOTIVO DA IMPRODUTIVA
1951069,[A Definir],,,Cancelamento em Andamento,7,19/09/2025,19/09/2025,19/09/2025,-,"DESATIVAÇÃO, VIVO, 4G",Sem prioridade,-,-,-,-,-,-,Cancelamento_Solicitado,DESATIVAÇÃO - BASE DE DEFESA - MONO CHIP - 3G/4G - BDN PAE C VALE COOP AGROINDUSTRIAL - LINK BACKUP - POT5010030,"Contato Oi: Apenas via e-mail por enquanto, ld-oemp-b2b@oi.net.br / Cliente solicitou o cancelamento do link descrito neste cartão. Motivo: Desistência do cliente final. Link 4G. IMEI do Chip: 89551062169007106499. VIVO - 103 15.",-,4G,-,POT5010030,80820052024,POT 5010033_20250919_0,"AV. ARIOSVALDO BITENCOURT, 2000",LINHA SANTA FÉ,PALOTINA,PR,85950-000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1951068,[A Definir],,,Cancelamento em Andamento,7,19/09/2025,19/09/2025,19/09/2025,-,"4G, VIVO, DESATIVAÇÃO",Sem prioridade,-,-,-,-,-,-,Cancelamento_Solicitado,DESATIVAÇÃO - BASE DE DEFESA - MONO CHIP - 3G/4G - BDN PAE C VALE COOP AGROINDUSTRIAL - LINK PRINCIPAL - POT5010033,"Contato Oi: Apenas via e-mail por enquanto, ld-oemp-b2b@oi.net.br / Cliente solicitou o cancelamento do link descrito neste cartão. Motivo: Desistência do cliente final. Link 4G. IMEI do Chip: 89551062169007106507. VIVO - 103 15.",-,4G,-,POT5010033,80720052024,POT 5010030_20250919_6,"AV. ARIOSVALDO BITENCOURT, 2000",LINHA SANTA FÉ,PALOTINA,PR,85950-000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1951066,Assessoria Solutions,,,Cancelamento em Andamento,7,19/09/2025,20/09/2025,19/09/2025,-,"DESATIVAÇÃO, OUTROS PROVEDORES, ASSESSORIA ATUANDO, ASSESSORIA KARINA",Sem prioridade,-,-,-,-,-,-,Cancelamento_Solicitado,DESATIVAÇÃO - LOSANGO - LOSANGO - CAMPO GRANDE - CPE5011061,"Contato Oi: Apenas via e-mail por enquanto, ld-oemp-b2b@oi.net.br / Cliente solicitou o cancelamento do link descrito neste cartão. Motivo: Desistência do cliente final. DIGITAL NET - 67 3398-1801.",-,BANDA LARGA,-,CPE5011061,205069200,CPE 5011061_20250919_1,"RUA MARECHAL RONDON, 1541",CENTRO,CAMPO GRANDE,MS,79002-205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1951065,Assessoria Solutions,,,Cancelamento em Andamento,7,19/09/2025,20/09/2025,19/09/2025,-,"OUTROS PROVEDORES, DESATIVAÇÃO, ASSESSORIA ATUANDO, ASSESSORIA KARINA",Sem prioridade,-,-,-,-,-,-,Cancelamento_Solicitado,DESATIVAÇÃO - LOSANGO - FLORIANÓPOLIS - FNS5010807,"Contato Oi: Apenas via e-mail por enquanto, ld-oemp-b2b@oi.net.br / Cliente solicitou o cancelamento do link descrito neste cartão. Motivo: Desistência do cliente final. INTERCORP - 48 9977-3660.",-,LINK DEDICADO,-,FNS5010807,205068293,FNS 5010807_20250919_4,"RUA JERÔNIMO COELHO, 102",CENTRO,FLORIANÓPOLIS,SC,88010-030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1951063,[A Definir],,,Cancelamento em Andamento,7,19/09/2025,19/09/2025,19/09/2025,-,"DESATIVAÇÃO, CLARO",Sem prioridade,-,-,-,-,-,-,Cancelamento_Solicitado,DESATIVAÇÃO - LOSANGO - RIBEIRÃO PRETO - RPO5012801,"Contato Oi: Apenas via e-mail por enquanto, ld-oemp-b2b@oi.net.br / Cliente solicitou o cancelamento do link descrito neste cartão. Motivo: Desistência do cliente final. Designação parceiro: RPO/IP/10143. CLARO - 0800 721 1021.",-,BANDA LARGA,-,RPO5012801,205068308,RPO 5012801_20250919_3,"RUA ÁLVARES CABRAL, 740",CENTRO,RIBEIRÃO PRETO,SP,14010-080,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1947702,[A Definir],,,Comercial,2,18/09/2025,19/09/2025,19/09/2025,-,OUTROS PROVEDORES,Sem prioridade,Viável,Comercial_Proposta Enviada,-,-,-,-,-,PEDIDO DE CONEXÃO NOVA - ALGAR - - BANDA LARGA - BARISUL,"CAROS POR FAVOR, VIABILIZAR VALORES DE ACORDO COM A DESCRIÇÃO DESTE CARD. Velocidade: 100Mbps (Banda Larga)
Endereço de instalação: R SALUSTYANO MARTY, 750 - CENTRO - BARRA DO QUARAI - RS - CEP: 97560-000
Velocidade:  100Mbps
",ALGAR,BANDA LARGA,100MB,-,-,-,"R SALUSTYANO MARTY, 750",Centro,BARRA DO QUARAI,RS,97560-000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1946599,[A Definir],,,Cancelamento em Andamento,7,18/09/2025,19/09/2025,18/09/2025,-,"DESATIVAÇÃO, ALDOX",Sem prioridade,-,-,-,-,-,-,Cancelamento_Solicitado,DESATIVAÇÃO - PREFEITURA - MIG COBRE LT1 - TESOURO - MT - MUNICÍPIO DE TESOURO - BKP - TEU5010013,"Contato Oi: Apenas via e-mail por enquanto, ld-oemp-b2b@oi.net.br / Cliente solicitou o cancelamento do link descrito neste cartão. Motivo: Desistência do cliente final. ALDOX ASSESSORIA - 11 98327-6055.",-,LINK DEDICADO,-,TEU5010013,1272826,TEU 5010013_20250918_12,"RUA DR. HUMBERTO MARCÍLIO, 158",CENTRO,TESOURO,MT,78775-000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1946598,[A Definir],,,Cancelamento em Andamento,7,18/09/2025,19/09/2025,18/09/2025,-,"DESATIVAÇÃO, MIDAS",Sem prioridade,-,-,-,-,-,-,Cancelamento_Solicitado,DESATIVAÇÃO - PREFEITURA - MIG COBRE LT1 - TESOURO - MT - MUNICÍPIO DE TESOURO - PRINC - TEU5010012,"Contato Oi: Apenas via e-mail por enquanto, ld-oemp-b2b@oi.net.br / Cliente solicitou o cancelamento do link descrito neste cartão. Motivo: Desistência do cliente final. MIDAS CONSULTING - 11 4381-1100",-,LINK DEDICADO,-,TEU5010012,500002304,TEU 5010012_20250918_1,"RUA DR. HUMBERTO MARCÍLIO, 158",CENTRO,TESOURO,MT,78775-000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1946597,[A Definir],,,Cancelamento em Andamento,7,18/09/2025,19/09/2025,18/09/2025,-,"DESATIVAÇÃO, NVR",Sem prioridade,-,-,-,-,-,-,Cancelamento_Solicitado,DESATIVAÇÃO - ANEXO - COLÉGIO ESTADUAL RUY BARBOSA - BARREIRO DO GUARA - 1179033 - CPK5010235,"Contato Oi: Apenas via e-mail por enquanto, ld-oemp-b2b@oi.net.br / Cliente solicitou o cancelamento do link descrito neste cartão. Motivo: Desistência do cliente final. NVR TELECOM - 77 9800-3641.",-,BANDA LARGA,-,CPK5010235,255068452,CPK 5010235_20250917_12,"POVOADO BARREIRO DO GUARÁ, S/N",CENTRO,CANÁPOLIS,BA,47730-000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1946596,[A Definir],,,Cancelamento em Andamento,7,18/09/2025,19/09/2025,18/09/2025,-,"DESATIVAÇÃO, NVR",Sem prioridade,-,-,-,-,-,-,Cancelamento_Solicitado,DESATIVAÇÃO - ANEXO COLÉGIO ESTADUAL CONSTANTINO CATARINO DE SOUZA - SANTA CRUZ - 1178886 - MIOO5038569,"Contato Oi: Apenas via e-mail por enquanto, ld-oemp-b2b@oi.net.br / Cliente solicitou o cancelamento do link descrito neste cartão. Motivo: Desistência do cliente final. NVR TELECOM - 77 9800-3641.",-,BANDA LARGA,-,MIOO5038569,255068519,MIOO 5038569_20250917_25,0 - Nº S/N,CENTRO,LUÍS EDUARDO MAGALHÃES,BA,47850-000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
