ID da Ordem,Etapa,Código do Status,Modificado por,SLA,Data do Evento,Data Início Execução,Data Final Execução,Prazo Máximo,Duração Total,Duração Útil,Status SLA,Excedido Total (min),Excedido Útil (min)
1885428,Em preenchimento,0,-,-,2025-08-14 16:19:55,14/08/2025 16:19,14/08/2025 16:31,-,0.01 dias,-,-,-,-
1885428,Concluído,4,atendimento@penetron.com.br,-,2025-08-14 16:31:28,14/08/2025 16:31,-,-,-,-,-,-,-
1885279,Em preenchimento,0,-,-,2025-08-14 15:17:19,14/08/2025 15:17,14/08/2025 17:00,-,0.07 dias,-,-,-,-
1885279,Concluído,4,atendimento@penetron.com.br,-,2025-08-14 17:00:20,14/08/2025 17:00,-,-,-,-,-,-,-
1885237,Em preenchimento,0,-,-,2025-08-14 15:00:04,14/08/2025 15:00,14/08/2025 15:01,-,0.0 dias,-,-,-,-
1885237,Aguardando Atendimento,1,-,-,2025-08-14 15:01:53,14/08/2025 15:01,14/08/2025 16:30,-,0.06 dias,-,-,-,-
1885237,Concluído,4,atendimento@penetron.com.br,-,2025-08-14 16:30:53,14/08/2025 16:30,-,-,-,-,-,-,-
1885006,Em preenchimento,0,-,-,2025-08-14 12:54:21,14/08/2025 12:54,14/08/2025 12:54,-,0.0 dias,-,-,-,-
1885006,Aguardando Atendimento,1,-,-,2025-08-14 12:54:35,14/08/2025 12:54,14/08/2025 16:02,-,0.13 dias,-,-,-,-
1885006,Concluído,4,atendimento@penetron.com.br,-,2025-08-14 16:02:08,14/08/2025 16:02,-,-,-,-,-,-,-
1884873,Em preenchimento,0,-,-,2025-08-14 11:41:13,14/08/2025 11:41,14/08/2025 15:11,-,0.15 dias,-,-,-,-
1884873,Concluído,4,atendimento@penetron.com.br,-,2025-08-14 15:11:36,14/08/2025 15:11,-,-,-,-,-,-,-
1884860,Em preenchimento,0,-,-,2025-08-14 11:34:57,14/08/2025 11:34,14/08/2025 11:37,-,0.0 dias,-,-,-,-
1884860,Aguardando Atendimento,1,-,-,2025-08-14 11:37:19,14/08/2025 11:37,14/08/2025 15:11,-,0.15 dias,-,-,-,-
1884860,Concluído,4,atendimento@penetron.com.br,-,2025-08-14 15:11:52,14/08/2025 15:11,-,-,-,-,-,-,-
1884469,Em preenchimento,0,-,-,2025-08-14 07:40:10,14/08/2025 07:40,14/08/2025 08:59,-,0.05 dias,-,-,-,-
1884469,Concluído,4,atendimento@penetron.com.br,-,2025-08-14 08:59:21,14/08/2025 08:59,-,-,-,-,-,-,-
1884111,Em preenchimento,0,-,-,2025-08-13 16:16:12,13/08/2025 16:16,14/08/2025 07:39,-,0.64 dias,-,-,-,-
1884111,Concluído,4,atendimento@penetron.com.br,-,2025-08-14 07:39:03,14/08/2025 07:39,-,-,-,-,-,-,-
1883158,Em preenchimento,0,-,-,2025-08-13 09:46:58,13/08/2025 09:46,13/08/2025 10:02,-,0.01 dias,-,-,-,-
1883158,Concluído,4,atendimento@penetron.com.br,-,2025-08-13 10:02:38,13/08/2025 10:02,-,-,-,-,-,-,-
1881655,Em preenchimento,0,-,-,2025-08-12 14:12:51,12/08/2025 14:12,12/08/2025 15:58,-,0.07 dias,-,-,-,-
1881655,Concluído,4,atendimento@penetron.com.br,-,2025-08-12 15:58:01,12/08/2025 15:58,-,-,-,-,-,-,-
1880351,Em preenchimento,0,-,-,2025-08-12 12:03:17,12/08/2025 12:03,12/08/2025 12:56,-,0.04 dias,-,-,-,-
1880351,Concluído,4,atendimento@penetron.com.br,-,2025-08-12 12:56:28,12/08/2025 12:56,-,-,-,-,-,-,-
1880158,Em preenchimento,0,-,-,2025-08-12 10:35:25,12/08/2025 10:35,12/08/2025 12:56,-,0.1 dias,-,-,-,-
1880158,Concluído,4,atendimento@penetron.com.br,-,2025-08-12 12:56:46,12/08/2025 12:56,-,-,-,-,-,-,-
1879864,Em preenchimento,0,-,-,2025-08-12 09:02:20,12/08/2025 09:02,12/08/2025 09:12,-,0.01 dias,-,-,-,-
1879864,Concluído,4,atendimento@penetron.com.br,-,2025-08-12 09:12:20,12/08/2025 09:12,-,-,-,-,-,-,-
1879807,Em preenchimento,0,-,-,2025-08-12 08:52:27,12/08/2025 08:52,12/08/2025 09:40,-,0.03 dias,-,-,-,-
1879807,Concluído,4,atendimento@penetron.com.br,-,2025-08-12 09:40:18,12/08/2025 09:40,-,-,-,-,-,-,-
1879789,Em preenchimento,0,-,-,2025-08-12 08:46:53,12/08/2025 08:46,12/08/2025 08:52,-,0.0 dias,-,-,-,-
1879789,Concluído,4,-,-,2025-08-12 08:52:12,12/08/2025 08:52,-,-,-,-,-,-,-
1879788,Em preenchimento,0,-,-,2025-08-12 08:46:35,12/08/2025 08:46,12/08/2025 08:47,-,0.0 dias,-,-,-,-
1879788,Concluído,4,-,-,2025-08-12 08:47:57,12/08/2025 08:47,-,-,-,-,-,-,-
1879785,Em preenchimento,0,-,-,2025-08-12 08:44:58,12/08/2025 08:44,12/08/2025 08:58,-,0.01 dias,-,-,-,-
1879785,Concluído,4,-,-,2025-08-12 08:58:43,12/08/2025 08:58,-,-,-,-,-,-,-
1879780,Em preenchimento,0,-,-,2025-08-12 08:42:57,12/08/2025 08:42,12/08/2025 08:44,-,0.0 dias,-,-,-,-
